"type","customer_name","customer_name_2","sale_number","date_completed","total","total_hours","total_cost","profit","margin","employee_name","store_division","created_at","updated_at"
"CPT","Franklin County Facilities Mgmt","900 Hague Ave.","1337","06/19/2018","522.00","0.00","0.00","522.00","100.00","Russ Mclean","Columbus" 
"CPT","Alliance Data Systems","Cad 1 - Spot Cleaning","2382","05/01/2018","600.00","8.00","248.00","127.00","33.87","Gary Christensen","Columbus" 
"","Alliance Data Systems","Cad 2 - Spot Cleaning","2390","05/01/2018","1300.00","14.50","449.50","150.50","25.08","Gary Christensen","Columbus"
"CPT","Alliance Data Systems","Cad 2 - Regular Cleaning","2398","05/01/2018","600.00","18.00","558.00","742.00","57.08","Gary Christensen","Columbus" 
"CPT","Alliance Data Systems","Alliance Data Systems / Cad 3","2406","05/01/2018","600.00","9.50","294.50","305.50","50.92","Gary Christensen","Columbus" 
"","Alliance Data Systems","Alliance Data Systems / Cad 3w","2414","05/01/2018","180.00","5.00","155.00","25.00","13.89","Gary Christensen","Columbus" 
"CPT","Alliance Data Systems","Cad 2 - Westerville","2432","05/01/2018","450.00","0.00","0.00","450.00","100.00","Gary Christensen","Columbus"
"","Careworks","Careworks","2440","05/01/2018","1200.00","21.00","651.00","349.00","34.90","Gary Christensen","Columbus" 
"CPT","Carlile Patchen & Murphy","Carlile Patchen & Murphy","2451","05/01/2018","285.00","0.00","0.00","285.00","100.00","Gary Christensen","Columbus" 
"CPT","Chemical Abstracts","Chemical Abstracts","2475","05/01/2018","600.00","1.50","46.50","103.50","69.00","Gary Christensen","Columbus" 
"CPT","Church Of The Saviour","Church Of The Saviour","2483","05/01/2018","195.00","0.00","0.00","195.00","100.00","Gary Christensen","Columbus"
"CPT","NAI / Ohio Equities","380 Polaris Parkway","2506","06/04/2018","195.00","0.00","0.00","195.00","100.00","Gary Christensen","Columbus"
"CPT","NAI / Ohio Equities","440 Polaris Parkway","2511","06/04/2018","400.00","0.00","0.00","400.00","100.00","Gary Christensen","Columbus"
"CPT","NAI / Ohio Equities","460 Polaris Parkway","2516","06/04/2018","290.00","0.00","0.00","290.00","100.00","Gary Christensen","Columbus"
"CPT","Nai Ohio Equities","Mt Carmel - 5955 E. Broad St","2525","05/01/2018","315.00","0.00","0.00","315.00","100.00","Gary Christensen","Columbus"
"CPT/HS","Net Jets","Net Jets","2542","05/01/2018","5400.00","40.00","1240.00","2303.75","65.01","Gary Christensen","Columbus" 
"CPT","Nai / Ohio Equities","Cddc","2562","05/01/2018","485.00","0.00","0.00","485.00","100.00","Gary Christensen","Columbus"
"CPT","Nai / Ohio Equities","CED","2566","05/01/2018","475.00","0.00","0.00","475.00","100.00","Gary Christensen","Columbus"
"","Nationwide","Document Solutions","2600","05/01/2018","455.00","0.00","0.00","455.00","100.00","Steven Pflug","Columbus"